facebook,70
sebmarkbage,23
bvaughn,21
rickhanlonii,20
acdlite,8
JoshuaGross,7
gaearon,6
dependabot[bot],5
yungsters,4
eps1lon,4
susiwen8,3
hecerinc,3
airimovici,3
sammy-SC,1
mdvacca,1
